Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,state
77,Karakat,Raja Ram Kushwaha,राजा राम सिंह कुशवाहा,Communist Party of India (Marxist-Leninist) Liberation,,,Bihar
78,Jahanabad,Surendra Prasad Yadav,सुरेन्द्र प्रसाद यादव,Rashtriya Janata Dal,,,Bihar
79,Aurangabad,Abhay Kushwaha,अभय कुशवाहा,Rashtriya Janata Dal,,,Bihar
80,Gaya,Jitan Ram Manjhi,जीतन राम मांझी,Hindustani Awam Morcha,,,Bihar
81,Nawada,Vivek Thakur,विवेक ठाकुर,Bharatiya Janata Party,,,Bihar
82,Jamui,Arun Bharti,अरुण भारती,Lok Janshakti Party (Ram Vilas),,,Bihar
83,Chandigarh,Manish Tewari,मनीष तिवारी,Indian National Congress,,,Chandigarh
84,Surguja,Chintamani Maharaj,चिंतामणी महाराज,Bharatiya Janata Party,,,Chhattisgarh
85,Raigarh (ST),Radheshyam Rathiya,राधेश्याम राठिया,Bharatiya Janata Party,,,Chhattisgarh
86,Janjgir (SC),Kamlesh Jangde,कमलेश जांगड़े,Bharatiya Janata Party,,,Chhattisgarh
87,Korba,Jyotsna Mahant,ज्योत्सना महंत,Indian National Congress,,,Chhattisgarh
88,Bilaspur,Tokhan Sahu,तोखन साहू,Bharatiya Janata Party,,,Chhattisgarh
89,Rajnandgaon,Santosh Pandey,संतोष पांडे,Bharatiya Janata Party,,,Chhattisgarh
90,Durg,Vijay Baghel,विजय बघेल,Bharatiya Janata Party,,,Chhattisgarh
91,Raipur,Brijmohan Agrawal,बृजमोहन अग्रवाल,Bharatiya Janata Party,,,Chhattisgarh
92,Mahasamund,Rupkumari Choudhary,रुपकुमारी चौधरी,Bharatiya Janata Party,,,Chhattisgarh
93,Bastar (ST),Mahesh Kashyap,महेश कश्यप,Bharatiya Janata Party,,,Chhattisgarh
94,Kanker (ST),Bhojraj Nag,भोजराज नाग,Bharatiya Janata Party,,,Chhattisgarh
95,Dadra and Nagar Haveli,Kalaben Delkar,कलाबेन डेलकर,Bharatiya Janata Party,,,Dadra and Nagar Haveli
96,Daman and Diu,Umeshbhai Patel,पटेल उमेशभाई बाबूभाई ,Independent,,,Daman and Diu
97,Chandni Chowk,Praveen Khandelwal,प्रवीण खंडेलवाल,Bharatiya Janata Party,,,Delhi
98,North East Delhi,Manoj Tiwari,मनोज तिवारी,Bharatiya Janata Party,,,Delhi
99,East Delhi,Harsh Malhotra,हर्ष मल्होत्रा,Bharatiya Janata Party,,,Delhi
100,New Delhi,Bansuri Swaraj,बांसुरी स्वराज,Bharatiya Janata Party,,,Delhi
101,North West Delhi (SC),Yogender Chandoliya,योगेंदर चंदोलिया,Bharatiya Janata Party,,,Delhi
102,West Delhi,Kamaljeet Sehrawat,कमलजीत सेरावत,Bharatiya Janata Party,,,Delhi
103,South Delhi,Ramvir Singh Bidhuri,रामवीर सिंह बिधुड़ी,Bharatiya Janata Party,,,Delhi
