Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,state
503,Alipurduars,Manoj Tigga,मनोज टिग्गा,Bharatiya Janata Party,,,West Bengal
504,Jalpaiguri (SC),Jayanta Kumar Roy,जयंत कुमार रॉय,Bharatiya Janata Party,,,West Bengal
505,Darjeeling,Raju Bista,राजु बिष्ट,Bharatiya Janata Party,,,West Bengal
506,Raiganj,Kartick Paul,कार्तिक पॉल,Bharatiya Janata Party,,,West Bengal
507,Balurghat,Sukanta Majumdar,सुकान्त मजुमदार,Bharatiya Janata Party,,,West Bengal
508,Maldaha Uttar,Khagen Murmu,खागेन मुर्मू,Bharatiya Janata Party,,,West Bengal
509,Maldaha Dakshin,Isha Khan Choudhury,ईशा खान चौधरी,Indian National Congress,,,West Bengal
510,Jangipur,Khalilur Rahaman,खलिलुर रहमान,Trinamool Congress,,,West Bengal
511,Baharampur,Yusuf Pathan,युसूफ पठान,Trinamool Congress,,,West Bengal
512,Murshidabad,Abu Taher Khan,आबू ताहिर खान,Trinamool Congress,,,West Bengal
513,Krishnanagar,Mahua Moitra,महुआ मोइत्र,Trinamool Congress,,,West Bengal
514,Ranaghat,Jagannath Sarkar,जगन्नाथ सरकार,Bharatiya Janata Party,,,West Bengal
515,Bangaon (SC),Shantanu Thakur,शान्तनु ठाकुर,Bharatiya Janata Party,,,West Bengal
516,Barrackpore,Partha Bhowmick,पार्थ भौमिक,Trinamool Congress,,,West Bengal
517,Dum Dum,Saugata Roy,सौगत रॉय,Trinamool Congress,,,West Bengal
518,Barasat,Kakoli Ghosh Dastidar,कल्कली घोष दस्तिदार,Trinamool Congress,,,West Bengal
519,Basirhat,Haji Nurul Islam (Died on 25 September 2024),शेख नुरुल इस्लाम,Trinamool Congress,,,West Bengal
520,Jaynagar,Pratima Mondal,प्रतिमा मंडल,Trinamool Congress,,,West Bengal
521,Mathurapur (SC),Bapi Halder,बापी हालदर,Trinamool Congress,,,West Bengal
522,Diamond Harbour,Abhishek Banerjee,अभिषेक बनर्जी,Trinamool Congress,,,West Bengal
523,Jadavpur,Saayoni Ghosh,सयानी घोष,Trinamool Congress,,,West Bengal
524,Kolkata Dakshin,Mala Roy,माला रॉय,Trinamool Congress,,,West Bengal
525,Kolkata Uttar,Sudip Bandyopadhyay,सुदीप बंदोपाध्याय,Trinamool Congress,,,West Bengal
526,Howrah,Prasun Banerjee,प्रसून बनर्जी,Trinamool Congress,,,West Bengal
527,Uluberia,Sajda Ahmed,सजदा अहमद,Trinamool Congress,,,West Bengal
528,Srerampur,Kalyan Banerjee,कल्याण बनर्जी,Trinamool Congress,,,West Bengal
529,Hooghly,Rachana Banerjee,रचना बनर्जी,Trinamool Congress,,,West Bengal
530,Arambagh (SC),Mitali Bag,मिताली बाग,Trinamool Congress,,,West Bengal
531,Tamluk,Abhijit Gangopadhyay,अभिजीत गंगोपाध्याय,Bharatiya Janata Party,,,West Bengal
532,Kanthi,Soumendu Adhikari,सौमेन्दु अधिकारी,Bharatiya Janata Party,,,West Bengal
533,Ghatal,Deepak Adhikari,दीपक अधिकारी,Trinamool Congress,,,West Bengal
534,Jhargram (ST),Kalipada Soren,खेरवाल सोरेन,Trinamool Congress,,,West Bengal
535,Medinipur,June Malia,जून मालिया,Trinamool Congress,,,West Bengal
536,Purulia,Jyotirmay Singh Mahato,ज्योतिर्मय सिंह महतो,Bharatiya Janata Party,,,West Bengal
537,Bankura,Arup Chakraborty,अरुप चक्रबर्ती,Trinamool Congress,,,West Bengal
538,Bishnupur,Saumitra Khan,सौमित्र खान,Bharatiya Janata Party,,,West Bengal
539,Bardhaman Purba,Sharmila Sarkar,शर्मीला सरकार,Trinamool Congress,,,West Bengal
540,Bardhaman–Durgapur,Kirti Azad,कीर्ति आजाद,Trinamool Congress,,,West Bengal
541,Asansol,Shatrughan Sinha,शत्रुघन सिन्हा,Trinamool Congress,,,West Bengal
542,Bolpur (SC),Asit Kumar Mal,असित कुमार मल,Trinamool Congress,,,West Bengal
543,Birbhum,Satabdi Roy,शताब्दी रॉय,Trinamool Congress,,,West Bengal
